"Catégorie","Numéro"
"Bureau de change", 50
"Agriculture - producteur",1
"Alimentation",2
"Artisanat - métier d'art",3
"Association",4
"Beauté - bien-être",5
"Commerce de détail",21
"Culture",6
"Habillement",8
"Habitat - bricolage - ameublement",9
"Hébergement",10
"Immobilier",11
"Informatique - électronique",12
"Loisirs",13
"Papeterie - reprographie",14
"Réparation - occasion",15
"Restauration - bar",16
"Santé",17
"Services à la personne ou pour entreprise",18
"Transport",19
"Web - Multimédia - Communication",20
"Education",7
